Rating,Description,Pros,Cons,Author Info,Resignation Reason
5,very satisfactory job,"as a dev you get(in my opinion):- great pay- opportunities to work on lots of different things- the benefits are great, they just gave $1500 a year during pandemic for employees to stay healthy outside of medical stuff- culture makes everyone a teacher to everyone else and promotes asking lots of questions","- working out of 9-5 is not uncommon- depending on your team, you can't get a promotion without serving x number of years even if your performance and responsibilities are clearly at the next level","Verified User Current Employee n******* Software Engineer I - May 4, 2022",
5,Great Team,I've been really enjoying the interaction with the people around me.,so much training and maybe not enough hands-on training. Would be more willing to go after if there was more extensive shadowing process,"Verified User Current Employee x***** Customer Success - May 4, 2022",
4,Ok career growth if you're lucky enough to land in an interesting team,Good career growthInteresting projectsDecent work life balance depending on the team,Low compensationCulture isn't greatOutdated officesUpper management is all about appearances,"Verified User Current Employee C***** Software Engineer II - May 4, 2022",
5,Solid,CultureWork life balance - can coast at times Leadership philosophy - Satya,I found it hard to changes rolesFelt stuck at times,"Verified User Current Employee h******* Business Program Manager - May 4, 2022",
4,"Great wlb and culture, mediocre compensation, limited career growth,","Work life balance is great, and the company culture really is relaxed and unpretentious. Management can be very supportive - or hell.",career growth is rather slow and compensation is not the best,"Verified User Current Employee C***** Customer Engineer - May 4, 2022",
4,"Great work life balance, not a good paymaster","Work life balance is good, nice tech stack and smart people","Less pay compared to market standard, other companies are paying more. Newly hired getting better pay compared to the older employees. Stock refreshers are not very good.","Verified User Current Employee v***** Engineer II - May 4, 2022",
5,"Great mission, truly empowering company","Good culture, company cares about it employees greatly. Feedback taken seriously","Compensation and at times, work life balance. Compensation has been improving and they listen to WLb issues","Verified User Current Employee Q***** Engineering Manager - May 3, 2022",
4,"Decent work life balance, ok pay","Great benefits, decent work life balance. Interesting projects. Decent budgets.",Politics. Slow promos in marketing. Peter principle at its finest.,"Verified User Current Employee w****** Marketing Manager - May 3, 2022",
5,Not good Wlb if you work in Azure. Nice culture and people. Low comp,Nice culture. Good People and management. Growth depends on teams,Low comp. Bad infra and tooling. Legacy system and crack working computers,"Verified User Current Employee P***** Data Scientist Manager - May 3, 2022",
4,"Work life balance good, comp bad, career growth urly!",- Company culture is better as compared to other big tech- Work like balance is also good,- career growth is slow- several employees are ok not to grow which lowers the bar- hiring bar is lower and interviewing process is not consistent across teams,"Verified User Current Employee d***** Business Analytics Manager - May 3, 2022",
4,"Great work life balance, huge growth in many areas of the company","Work life balance is great. As a company, it's heading to a right direction with many high growth products.Good benefits too.",Compensation is incomparable to any of the other big tech...a lot of talents are leaving due to this reason alone I believe,"Verified User Current Employee o******* Software Engineer II - May 3, 2022",
4,Looks good on the resume,MS gives you the ability to work remotely depending on your group. They offer a good benefits package.,Very large company so easy to feel like a little fish in a big pond.,"Verified User Current Employee K****** Senior Supply Chain Engineer - May 3, 2022",
5,Good company,Emphasis on learning as new grad and coworkers are nice,Compensation is not top tier for the level of talent,"Verified User Current Employee p****** Program Manager - May 3, 2022",
4,"Excellent company, just a shame they don't pay market rates","Brilliant culture, lots of challenges and learning on a regular basis. Great peers to work with. Management supportive of taking risks - no micromanagement.",Doesn't match market rates which sooner or later causes people to leave.,"Verified User Current Employee u****** Architecture Engineer - May 3, 2022",
3,Remnants of toxic culture,Good opportunity to learn new things and lots of freebies .. a company continuously trying to phrase everyone but is it too late?,"Politics and stuck in the last century on technology. Most managers seem to have decided to do nothing to retirement, there is no sign of implementation of the cool performance philosophy in reality","Verified User Current Employee m******** Applications Developer - May 3, 2022",
3,"Great culture, Great WLB. Worst work quality, super legacy systems","Genuine focus on well being of employees, great WLB, people are nice","Super legacy tech, feels like regarding your tech skills. Old and archaic thought leadership.","Verified User Current Employee l****** Principal Engineering Manager - May 3, 2022",
3,Internal work will get dumped on you if you won't speak up,"Work life balance is good, culture is good. Joined as campus hire so no experience about other companies","Folks in some ORGs get goodies, gifts, OBTs and some don't which feels weird. My friends have Microsoft goodies piled up in a cupboard but i don't even have 1 single tshirt 🤣.Raises are also the size of peanuts. You work your ass off and get a peanut in reward.","Verified User Current Employee O****** Software Engineer - May 3, 2022",
4,Great culture and wlb but low pay,I think the culture here is amazing and I haven't had any issues with wlb,Lower than industry average pay Career growth can be slow,"Verified User Current Employee x******** Marketing Manager - May 3, 2022",
4,Good Company but not best,"Good Brand Name, Diverse market, Fundamentally good, Good Stocks Value.",Pay is not the best. More granularity in levels may lead to slow growth.,"Verified User Current Employee p****** Software Engineer II - May 3, 2022",
3,Great wlb but boring iterative work.,Work life balance Kind peopleProducts that millions of people use,"ComplacencyOffice politicsBad pay, no refreshers with huge cliff","Verified User Current Employee W***** Product Manager - May 2, 2022",
5,Great wlb slow paced,"Wlb, perks, can count on team for recession, Mexican insuarnace","Comp, slow growth, no refreshers for existing employees, no fast promos","Verified User Current Employee b********* Software Engineer - May 2, 2022",
3,so so,A stable company if you are just waiting for green card or if you found a good team to coast,"WLB may vary based on team, but compensation is always low.","Verified User Current Employee g****** Software Engineer II - May 2, 2022",
3,"Good WFH, weak compensation",Good work life balanceAbility to fully working remoteWorking on products that affect millions of lives,Weak compensationSlow career growthStupid D&ISo many politicsManagers that don't know basic stuff,"Verified User Current Employee l***** Senior Product Designer - May 2, 2022",
3,"Great place to settle long term if comp, career growth not an issue.","Positive, collaborative culture.Emphasis on leading with empathy.Diversity of opportunity, so many teams doing so many different things.",Compensation for long timers is not great. Newcomers at lower levels offered same or higher package.,"Verified User Current Employee e***** Program Manager - May 2, 2022",
5,Great stable company with an incredible future,"Great products, stable environment, you can spend a decade at Microsoft and hop between multiple orgs and roles and continue to learn.",Rest and vest middle and senior management in some orgs which is incredibly demotivating.,"Verified User Current Employee t********* Learning and Development Manager - May 2, 2022",
4,4 star overall,"Average comp,Decent work/life balance,Strong company cause,Decent c level leadership working hard to transform business and culture",Need sponsorship to grow as a leader which is hard to find if you join mid-career vs peers who started early career and grew within.Not as attractive base salary/bonus structure as exists at competitors,"Verified User Current Employee d***** Senior Finance Manager - May 2, 2022",
4,"WLB is great, but feels like everyone is coasting","Easy, flexible WLB, benefits, direct management, easy, good people in your everyday work",No sense of urgency to remain competitive with talent from other big companies,"Verified User Current Employee y******** Technical Program Manager - May 2, 2022",
4,Great people and wlb.,Good people to work with. Lots of opportunities to switch within the team,Low salary compared to other companies. Sometimes the hiring bar is low,"Verified User Current Employee L***** Senior Software Engineer - May 2, 2022",
4,"Comp sucks, WLB rocks","WLB rocks, management is iffy. Learning opportunities are good on some teams.",Comp is awful. Not anywhere near other big tech companies.,"Verified User Current Employee 1****** Software Engineer II - May 2, 2022",
4,Great WLB,Great Work life balance. Good culture and co workers around.,Slow growth I think. Management is not so great compared to others.,"Verified User Current Employee i***** Software Engineer II - May 2, 2022",
5,Overall great WLB and culture. Work can be sometimes not challenging.,Great WLB and CultureGood focus on learning and self development,Poor CompensationSome of the orgs are very big and you can get lost in it,"Verified User Current Employee J********* Senior Program Manager - May 2, 2022",
