Rating,Description,Pros,Cons,Author Info,Resignation Reason
4,Great work life balance. Good comp.,Great work life balance.Smart people around you.Great place to learn if you are directly out of school.,No career growth.Old c++ .No raise unless you have offer 😡,"Verified User Current Employee k****** Senior Software Engineer - Apr 21, 2022",
3,Doesn't live up to its name,- Great health benefits. - Great pension plan. - Annual increments above market rate. - Everyone claims the pantry at Bloomberg is terrific but the cons of working in this company outweighs this factor in my honest opinion.,"- Micromanagement, micromanagement, micromanagement. - All employees clock in a fixed 8-6 working hours. - They love scheduling pointless meetings I'm this company the likes of weekly 1-on-1s to fill up their calendar. You are judged on productivity and an empty calendar points toward an unproductive employee! - The politics in here is akin to GoT.","Verified User Current Employee j******** Sales and Analytics - Apr 21, 2022",
5,Great place to grow career,Always found great resources and support to grow my career here and some great mentors.,"Tech stack can be a bit dated, and take time to fix.","Verified User Current Employee j********* Engineer - Apr 21, 2022",
5,great work life balance,great work life balance. good managers. becoming a more flexible organization.,technical debt can be overwhelming. typical problems of a large size organization.,"Verified User Current Employee o***** Engineering Manager - Apr 20, 2022",
4,Fast paced,Careers at Bloomberg are fulfilling but you need to be prepared to take the opportunities as they come. You must be prepared to network and build relationships with people across the globe to succeed.,Can be political at times but that's like anywhere. A lot of decision making driven out of the US which leaves other regions feeling like an after thought.,"Verified User Current Employee b**** Applications Developer - Apr 19, 2022",
3,Average overall. Not great but not bad either.,"Flexible enough on remote work policy, compensation is just average.",Boring work and no time given to learn anything new.,"Verified User Current Employee q*** Senior Software Engineer - Apr 18, 2022",
4,Great work life balance,Work life balance is pretty good. Trust and take care of their employees.,"Not clear career path, low total compensation compared to other big company","Verified User Current Employee J***** Software Engineer I - Apr 17, 2022",
4,Great place to work,good work life balance. nice colleagues to work with. Good benefits.,Limited Compensation growth. tech stack is old for certain groups.,"Verified User Current Employee P****** Senior Software Engineer - Apr 15, 2022",
5,"Interesting tech challenges, good culture",Wide variety of engineering problems to solve. Good culture. Tech first approach,Lack of levels or titles makes it difficult to see growth for an IC,"Verified User Current Employee V***** Software Developer - Apr 15, 2022",
3,Avoid trading and analytics,"Smart people, decent wlb, lots of traning available, good for new grads","Forced return to office, no levels, legacy code, lack of growth opportunities","Verified User Current Employee m******** Software Developer - Apr 14, 2022",
1,Toxic culture 👎🏼,Good benefits. Free snacks n drinks. Decent wlb. Beautiful building.,No career growth. Weak TC. Policy enforcement for RTO. No checks and balance for TLs/Managers. Unfair Evals.,"Verified User Current Employee L******* Enterprise Solution Architect - Apr 13, 2022",
5,"Amazing work life balance, must work company in our career once",Good payUnlimited sick leavesRelaxed Management No work pressure/peer pressure,Doesn't believe in WFH as they have policy of 3 days a week.,"Verified User Current Employee P********* Systems Architect V - Apr 13, 2022",
5,Good for an internship,"great internship experience - the culture is great, the project was interesting","Not much progression, only two levels for SWEs .","Verified User Current Employee S***** Software Engineer - Apr 13, 2022",
5,Great work life balance,Great team and smart people Trying to improve tech stack,Management has way too much say in things that need more flexibility,"Verified User Current Employee c***** Senior Software Developer - Apr 13, 2022",
4,Decent comp for good WLB,Good comp for nycSolid wlbOverall nice peopleLots of finance if you're into that,Not the absolute best compNo IC trackOpaque performance review system,"Verified User Current Employee y***** Software Engineer - Apr 12, 2022",
3,Stepping stone,Great place to begin your careerHigh exposure to financial institution clientsPromotes self-development/learning,Low level of technical presence in APAC leadershipBenefits don't extend across all departments,"Verified User Current Employee s******* Data Analyst - Apr 11, 2022",
4,Great wlb but management is not efficient and IT is slow and they are having too good lives,"Nice colleagues, transparency is good, less work,chances to switch teams","Slow dev, management is inefficient, no resource of new dev","Verified User Current Employee K***** Product Analyst Manager - Apr 11, 2022",
5,Great work life balance,WlbGreat cultureInteresting and evolving techFaster path to leadership,-Some teams gave boring tech- slow growth- no levels,"Verified User Current Employee G******** Software Engineer - Apr 11, 2022",
3,"Most teams are bland with great WLB, some teams are awful",* all cash comp* financially stable* great WLB on most teams,"* essentially no career growth* awful management that tries to gaslight you about everything* atrocious WLB on some teams* actively embraces not-invented-here syndrome and tries to reinvent the wheel and outputs terrible inner-sourced software most of the time* people are frequently fake* you never know how you're performing because you don't receive quantitative performance reviews (your manager does assign you a rating, but you don't get to find out what it is)* everything is designed to slow you down* comp is distinctly second tier to FANGs","Verified User Current Employee t***** Software Engineer - Apr 11, 2022",
3,"Great work life balance, but that's about it",They give base salary raise every year and work life balance is good. Many people come in 11am.,too much legacy technology which makes the company not agile,"Verified User Current Employee y*** Machine Learning Engineer - Apr 11, 2022",
5,"Good WLB, and career growth.","Great WLB, and good perks in the office. Best benefits around and depending on team, you can have a pretty good career here.","In sales, even though base salary is higher than avg, total comp is a bit lower.","Verified User Current Employee B****** Account Manager - Apr 10, 2022",
3,Legacy tech can hinder,"Great wlb, good teammates. It is easy to onboard and contribute",Legacy tech can become a hinderance. Not much scope in boosting TC,"Verified User Current Employee s********* Software Developer - Apr 10, 2022",
5,Great company!,Great work-life balance.  Amazing benefits.  Opportunities to learn a lot about financial industry.  Strong culture of internal mobility.  New greenfield projects get started on a regular basis.  A lot of teams experiment with cutting-edge technologies.  String artificial intelligence team.,Strength of engineering culture and amount of technical debt varies a lot team to team.  ,"Verified User Current Employee v***** Engineering Team Lead - Apr 10, 2022",
4,Good wlb but limited progression,Good wlb with reasonable manager and tech leads. Nice office.,Tc growth cant compete with faang. Canteen doesnt have much choice.,"Verified User Current Employee Q***** Software Engineer - Apr 9, 2022",
4,Cushy job,Very open culture and laid back in a way that allowed you to focus on what you want to do on the side.High staying salary for how simple the job can be compared to other placesLots of resources and $12000 for learning per person is goodNice office and environment,Career progression difficultManagers don't really instill confidenceNo/little projects of valueFeels like management don't listen to workers in terms of projects.Unfairness in the way different teams are treated - don't take get all the resources and pay rises while others get little for a very similar job,"Verified User Current Employee n********* Data Analyst - Apr 9, 2022",
5,Great work life balance,Great culture. Great people. Great growth and career progression. Awesome work life balance.,None. Been looking for something bad and I can't find one yet.,"Verified User Current Employee g**** Software Engineer - Apr 8, 2022",
2,Good place to start for non CS student,- Good work life balance - No pip- Your peers are generally friendly,- Low compensation- No engineer levels- Career growing opportunity is limited other than promoted to manager. - Very old technology - Tons of legacy system to maintain.,"Verified User Current Employee U***** Senior Software Developer - Apr 8, 2022",
3,Not bad!,"Chill culture, nice offices, good work live balance, nice people","Old tech, some finance culture influence, unstable environments, ok pay, no engineering levels","Verified User Current Employee d***** Software Engineer - Apr 7, 2022",
1,Good to start your career here,Supportive and collaborative work environment Good Wlb !Nice people,Flat structure Limited career growth Internal tooling No meals …,"Verified User Current Employee k*** Software Engineer - Apr 7, 2022",
3,Needs some work,Work life balance is good. Semi easy to change teams.,"Toxic management in some chains (MARS), lack of career progression in comp and responsibilities","Verified User Current Employee s***** Software Engineer - Apr 6, 2022",
5,Good situation,"Very good work-life situation, never worked more than 50 hours a week in 2 years, most weeks are 40/45. Rewards you if you do well, lots of opportunity for internal movement, quick promotions",Lot is manager dependent and feels more relationship based rather than just performance,"Verified User Current Employee R***** Product Analyst - Apr 6, 2022",
5,Great place to work but depends on your professional goals,Obviously depends on your management chain.- Lot of ownership bestowed in Engineers.- Good Work/Life Balance.- Becoming a more flexible workplace.,- Older Technologies & Tech Debt but a good challenge for someone who is willing to apply Engineering discipline to improve Tech Stacks. Some people actually do.- Lack of alignment across departments at times. Again not something particularly unique to a large organization. - Could do better for Developer Experience.,"Verified User Current Employee W********* Engineering Manager - Apr 5, 2022",
5,Great company,It's great to work here. They have good pay and benefits,I don't have many negative things to say about the company,"Verified User Current Employee w********* Software Engineer - Apr 5, 2022",
5,Decent company,Pay is decent. Decent managementGood benefitsGreat work life balance,Tech stack can be pretty old school depending on your team,"Verified User Current Employee d******** Manager, Software Development & Engineering - Apr 4, 2022",
5,Good company to work for,overall everything is good. work is good. people are good. except mid down,flat structure - all the politics hide behind that flat structure,"Verified User Current Employee w***** Software Engineer II - Apr 4, 2022",
5,Great for WLB,Very good work life balance based on my non-Engineering experience.,The quality of your TL has a lot of influence on your experience day-to-day.,"Verified User Current Employee E*** Product Manager - Apr 4, 2022",
4,Good work life balance,work life balance.Outlook of the company is stable to positive.,Legacy architecture. Compensation is subpar to FAANG companies. 3-day in office minimum.,"Verified User Current Employee Y***** Senior Software Design Engineer - Apr 4, 2022",
4,Great work life balance,Great work life balanceWide variety of work Easy internal mobilityLarge amounts of support/training,Slow growthCompensation isn't as competitive at senior levelIn office perks not that great,"Verified User Current Employee h*** Software Engineer - Apr 4, 2022",
4,Great benefits,"The benefits are amazing. Health, dental, 401k, etc. Everyone is issued a laptop (either mac or windows) for work, no need to RDP into machines, etc.","The technology is not that great they rely on proprietary stuff (bde, comdb2) which is a bit stale. They still use Solaris & AIX (and Linux is Redhat 7!)","Verified User Current Employee N***** Applications Developer - Apr 4, 2022",
4,Great ppl great manager but not enough learning and comp,Wlb is really great all the ppl there are really great diversity ppl,"Not enough career growth and not enough pay, not really competitive","Verified User Current Employee q***** Software Engineer - Apr 3, 2022",
