Rating,Description,Pros,Cons,Author Info,Resignation Reason
3.0,"Good people, laid back culture","- depends on the team, but mostly laid back- most people are willing to help you - they at least *try* to be very transparent and open - design-led company. Craftsmanship is highly valued ","- not as many talent as I expected there to be- questionable product decisions due to a very old, legacy system ","Verified User Current Employee  l*****  Product Designer - Apr 8, 2021",
4.0,Good company ,"Customer obsession, True North Goal and  perks are good here. ",Bad work life balance specially during WFH. Too many organization changes ,"Verified User Current Employee  b*********  Senior Software Engineer - Apr 7, 2021",
3.0,Toxic work culture - stay away ,Wfh is great ... benefits are amazing .. profits are very popular .. tech stack is cutting edge for the most part ,Management sucks .. reorgs happen so frequently that u tend to forget ur reporting structure ..Many back stabbing leaders at the top .. no transparency on promotions ..Hiring process sucks .. ,"Verified User Current Employee  b********  Principal Applications Engineer - Apr 6, 2021",
5.0,Great work life balance,"Company really cares for employees, brilliant culture and learning opportunities","Nothing major to call out as downside, it just depends on perception of people.","Verified User Current Employee  p*********  Finance Manager - Apr 6, 2021",
5.0,"Good work life balance, decent management","Good work life balance,Decent learning and growth opportunities, lots of work with cutting edge tech.","Some favoritism at play, if you don't gel well with manager, you're pretty much screwed.","Verified User Current Employee  x*****  Senior Software Engineer - Platform - Apr 6, 2021",
4.0,Good WLB,WLB is great at IntuitCulture is very good and company cares about its employees.,Career growth is minimal and depends heavily on team.Yes ,"Verified User Current Employee  j*******  Senior Software Engineer - Apr 5, 2021",
5.0,Greedy managers and politics ,Good benefits and peopleWork is challenging and good teamwork ,Politics in every group. Managers are not open about the team goal and deep rooted politics where managers are super greedy to reach to next level and lots of boot licking going on,"Verified User Current Employee  b*****  Senior Software Developer - Apr 2, 2021",
4.0,"Leader in most product categories, great growth potential",Company cares about employees. Good culture and world life balance ,Comp could be better esp wrt stocks and politics in parts,"Verified User Current Employee  J*****  Principal Software Engineer - Mar 31, 2021",
4.0,"Really good hr practices , work life balance based on the team. ","HR practices , , , ,  , , , ,","Very political, short term focus, , , , , , ","Verified User Current Employee  H****  Engineer II, Senior Software Android Engineer - Mar 31, 2021",
5.0,Amazing Customer Obsession,"Intuit is a great example of courage, customer obsessed innovations, and teamwork.  ",Work life balance can be improved and way too many legacy technology around.  ,"Verified User Current Employee  m*****  Director of Software Development - Mar 31, 2021",
5.0,They care about people,Care about people and company makes active effort to focus on employees. ,Career growth is limited in international. Stagnation which can be frustrating. ,"Verified User Current Employee  U*****  Field Manager - Mar 30, 2021",
4.0,"Good WLB, Decent Compensation",Great Work Life Balance and nice perks. Great WFH perks during COVID. Great culture,The management is highly political. The pay is not high compared to other companies of the same range,"Verified User Current Employee  v*****  Software Engineer - Mar 30, 2021",
3.0,Between Mediocre and Good (not Best),1. Good brand2. Still have Growing Customer base 3. Decent Refreshers ,1. Poor management 2. Work life balance 3. Too many goals and lack of focus,"Verified User Current Employee  x*****  Product Manager - Mar 30, 2021",
