Rating,Description,Pros,Cons,Author Info,Resignation Reason
4,"Good career growth, but not ideal for work-life balance",Great career growth. My manager was good at developing my skills. Lots to learn and very easy to achieve success. There is always work to do. Good pay but I’ve found better elsewhere. Strategy seems to always be very clear which makes it 10x easier to focus on your work since you aren’t flip-flopping every few months.,"PTO is a joke for new hires at 12 days. Health insurance is better than most but not the best. Work life balance kinda depends on your manager but I found it to be low for a tech company; some self-deprecating jokes about how the WLB isn’t great there. The attitude there is very anti-remote, and it perpetuates through the management culture I found.","Verified User Current Employee b****** Program Manager - Apr 30, 2022",
4,Good compensation,"Good refresher, work life balance is ok, always get the latest devices","A lot of migration and reorg in Siri org, work is boring, a lot of politics in the org","Verified User Current Employee w***** Software Engineer - Apr 29, 2022",
4,"Fast paced, low WLB",Apple has a great can-do culture. It is very motivating. Also it’s possible to make an impact soon.Discussions are technical and focused on problem solving.,Work life balance is missing. Not a great place for people with kids less than age 5 (unless your spouse can take care of the home front completely) EPMs are not great quality and waste too much engineering time. Return to office even when it’s not needed in some jobs.,"Verified User Current Employee p***** Engineer - Apr 29, 2022",
5,Okay,Strong brand name and people love apple brandtechnology innovation,"depends on your team, first line mgr can be incompetent","Verified User Current Employee P***** Engineer - Apr 29, 2022",
5,highly impactful work,"maybe I'm drinking the koolaid, but it feels like the work that we do at apple really does impact the world","man, this place is really political. be prepared to step into the landsraad","Verified User Current Employee p********* Banking Analyst - Apr 29, 2022",
5,Good,Good teams and caring management happening here and there,Some times WLB can be intense but not all the time,"Verified User Current Employee J***** Software Applications Engineer - Apr 29, 2022",
4,A stable company in uncertain times,Stable stockBrand nameDecent pay but not top of the market,Bad WLBSlow career growthVery secretive culture Bad perks and aminities,"Verified User Current Employee W***** Machine Learning Scientist - Apr 29, 2022",
3,"A culture of constant excellence, but at what cost?",- Instant recognition and impact on billions of people - Ship real products,"- Long hours - Management expects constant 100% from everyone at all costs- Product cycles provide little to no downtime- Paid peanuts, benefits are underwhelming compared to the peers","Verified User Current Employee i******* Software Developer In Test - Apr 29, 2022",
5,Amazing opportunity to change the world,"Global impact, smart people, legendary management, and great culture focused on excellence and customer delight.","Apple requires you to work from the office at least 3 days a week, meaning you can’t escape the high cost of living, and the pay is mid-range in the industry.","Verified User Current Employee k***** Product Manager IV - Apr 29, 2022",
5,Best place to be for people who care about people but still want to focus on engineering.,Smart people. Great products. Focus on user privacy. Opportunities for growth and advancement.,No free food. Commute and some people don’t like the hybrid work policy. Can be siloed due to organization decisions.,"Verified User Current Employee k***** Software Engineer IV - Apr 29, 2022",
2,PM at AIML,People you work with are pretty high caliber and most are enjoyable to work with,"Very politicalMany PMs already left or are leaving Terrible to be a PM here, as people don’t know what PM is","Verified User Current Employee D***** Produce Manager - Apr 28, 2022",
3,Pretty tough work environment,"You get pushed a lot, could be good as you grow a lot. Good team and everyone’s willing to help you. Work on really cool products with lots of prestige. Great comp and benefits.","Managers are tough, expectation to be excellent all the time. Can feel draining and overworked.","Verified User Current Employee d****** Engineering Project Manager - Apr 28, 2022",
4,Overall nice place to work,It really depends what teams you are on. You may get to work on cool stuff if you land up in good team,Too much politics. People just care about promotions rather than the team and peers.,"Verified User Current Employee f**** Software Applications Engineer II - Apr 28, 2022",
3,The most you get is bragging rights,Decent* payTop tech companyInsight into how large companies work,No work life balance at allTerrible leadershipUnderstaffed and overworked,"Verified User Current Employee D********* Software Developer In Test - Apr 28, 2022",
2,arrogant executives and senior mgmt,some teams are better than others in terms of money.,arrogant executives and senior mgmt. hr is a joke. They truly don’t care.,"Verified User Current Employee s********* Engineer - Apr 28, 2022",
4,Interesting products,The products are very interesting and it’s fun to work on features that impact millions of customers,"We don’t have many perks, no free food, no fun activities…","Verified User Current Employee K***** Software Engineer - Apr 28, 2022",
3,Leads by focusing on gender & racial differences than on unity,It’s a job. You get a paycheck every few weeks.,Current management and HR prioritize focusing on differences and categorizing employees to hire and promote those they deem are part of traditionally underrepresented and traditionally disadvantaged groups. Indeed the Today@Apple weekly e-newsletter is a vehicle that on the surface spotlights diversity but actually encourages all employees to focus on individual differences and self-segregate into groups focused on activism instead of coming together as one - the message is never one of stronger together. If you excel here expect 2-3% annual raises and no change in RSUs. Mix overpriced cafeteria food and tiny cramped cubicals in with execs running around gaslighting employees about doing their life’s best work while not promoting and advancing many and it is no wonder many become alienated and leave.,"Verified User Current Employee b***** Engineer - Apr 28, 2022",
5,Good WLB and TC,Good combination of WLB and TC if you land a good org,Mandatory RTO and Cupertino real estate prices are too high,"Verified User Former Employee G********** Software Engineer - Apr 28, 2022",Left for up leveled role at a different tech company
4,good in general,Innovative Talented people mature systems for product development Good reputation,Bad work life balance Junior managers need more training Less transparent,"Verified User Current Employee h***** Engineer - Apr 27, 2022",
4,Good company but it really comes down to who you report to,"Fun company, always something interesting in the works, you do have to pay for food but it’s great quality.",There are a lot of politics. Changing teams or moving up can be very difficult.,"Verified User Current Employee o****** Facilities Coordinator - Apr 27, 2022",
5,Great place,Depends a lot on the team but my team has great wlb and ability to do meaningful work,Lots of red tape and privacy constraints. Can be slow sometimes,"Verified User Current Employee X***** Data Analyst - Apr 26, 2022",
3,Smart people with poor management,apple name recognition when applying externallycomp decent until initial grants expirecontact with a lot of very smart peoplenever bored,disillusioned and frustratinglittle accomplished for the work requiredserious management skill failures unaddressedfocus on cheaper less seasoned talentfrequent lack of professionalismno clear direction,"Verified User Current Employee m***** Senior Information Technology Analyst - Apr 26, 2022",
3,The best part are the RSU refreshers,- RSU refreshers. - brand recognition and easy to apply elsewhere - product discount,- culture. VP orgs are too distant from each other and need to reinvent the wheel. - No free food or snacks when compared to other FAANG or mid-sized companies. - pay for on premise gym - management driven by emotions - internal transfers are a nightmare. Full-loop interview for lateral change.,"Verified User Current Employee a******* Software Engineer In Test III - Apr 26, 2022",
3,Decent pay - sucks big time for anything else,1. Friendly(ish) management 2. Better pay than most companies but on the same level as other FAANG companies,1. Piss poor perks ( no free drinks or company swag )2. No milk at coffee stations ( yup )3. Crap vacation hours ( 12 days / year )4. No free food at all. AT ALL. Not even during special company days. They have a late at night dinner program but that’s restricted to 12$ and ONLY if you work till late night. You can’t pick up food and go to your family. 5. No free drinks or even drink dispensers 6. NO FREE GYM.They basically redefine the meaning of the word  cheap,"Verified User Current Employee S******* Software Applications Engineer II - Apr 26, 2022",
4,Good perks stunted growth,"Great perks and good stocks options, the on-site doctors etc are a good.",Can’t really grow unless you are part of the inner circle of white people,"Verified User Current Employee e***** Software Engineering Manager II - Apr 26, 2022",
5,"If you love what you do, you’ll love Apple",Build cool shit.Reach 1 bil customers.Work for the world’s most admired company.,It can be long hours and demanding work. Not everyone is cut out for it. Sometimes it takes you putting your foot down and prioritizing your home life.,"Verified User Current Employee b********* QA Lead - Apr 25, 2022",
4,Growth with moderate pay,"Plenty of growth opportunities, management willing to be flexible on learning and projects. ",Pay is below others in tech in Bay Area. Very insistent on in-person work.,"Verified User Current Employee p********* Software Engineer II - Apr 25, 2022",
2,Horrible Work-Life but smart employees,Great people to learn from (if they have the patience) You can say you work at Apple,Work life balance Culture is toxic by design Worst perks of any tech company Management is super demanding and will bug you during your PTO On-Boarding is horrible,"Verified User Current Employee B******* Engineer - Apr 25, 2022",
4,Management seems detached,Good pay. Smart people around. A lot to learn from the bests in the industry,Management is too rigid. Can be painful if you like/have to travel,"Verified User Current Employee k***** Hardware Engineer III - Apr 25, 2022",
2,Middle managenrnt is horrible.,Scale is big. Impact could be great. Really good overall reputation. Some (few) very passionate people.,"Too many useless meetings, no action. No drive just schedule and cover your own behind.","Verified User Current Employee j***** Engineer - Apr 24, 2022",
4,please treat retail better,"Amazing peers, supportive leaders. Stock and products discount. Great culture","Retail environment, work life balance could be better. Please increase pay for retail","Verified User Current Employee N***** Manager of Sales - Apr 23, 2022",
4,"Good work life balance, limited flexibility","Hours not as demanding as places like MSFT, for most teams. Good compensation","Company talks a big game about being flexible, but doesn't take actions to be flexible itself, just expects employees to be flexible to company policy","Verified User Current Employee n***** Program Manager - IT - Apr 23, 2022",
4,Great work life balance,"Great compensation, Amazing work life balance, technical managers and autonomy in work","Old tech stack, poor cloud infrastructure compared to AWS or GCP","Verified User Current Employee g********* Senior Software Engineer - Apr 23, 2022",
5,Great Company,"Good compensation and paceGood support from project management team,Great benefits.",Slightly older tech stackNone that I can think of.,"Verified User Current Employee L***** Data Engineer - Apr 22, 2022",
