Rating,Description,Pros,Cons,Author Info,Resignation Reason
3,"Not what it once was, not yet what it can be",Pay is very competitive and benefits are great. The company is stable.,"The company's growth has outpaced its internal infrastructure. Work is so much harder to get done today then it used to be not only because there are more people to go through and no clear decision making but because the internal tools and infrastructure are severely lacking particularly in non tech functions. There's an internal joke about how we can organize the world's information, but we can't organize our own.","Verified User Current Employee i***** HR Manager - Apr 13, 2021",
5,Simultaneously challenged and relaxed,"- good WLB means I can grow outside of work too- good culture, very collaborative - good internal opportunities to get hands on- good benefits/perks",- slow promos- comp is good but not great unless you have competing offers from FB- Downleveling- a little slow at times- no remote work and offices usually in expensive locations,"Verified User Current Employee D***** Software Engineer - Apr 13, 2021",
5,Overall great company to work for with the smartest people around you,Good culture & work life balance.Love company's mission statement and efforts around it.,Comp is not as good as it used to be compared to other competitors,"Verified User Current Employee h******* Solutions Consultant - Apr 13, 2021",
4,Decent company,Good work life balanceAbove average compensationNice coworkersGood infrastructure,Slow career growthTeam culture variesPromo process is opaque,"Verified User Current Employee m******* Software Engineer - Apr 12, 2021",
5,"Amazing perks, culture, and wlb","Strong culture that prioritizes psychological safety and teamwork. Work is usually less than 50 hours per week with flexibility on timing and pace when needed. Coworkers are intellectually curious, humble, and thoughtful",Career progression is not fully clear for some roles in strategy.,"Verified User Current Employee B***** Program Manager - Apr 12, 2021",
4,"Slow to grow, they downplay your previous position by a lot",- bottom up culture is great- management is good (or maybe i'm just lucky),- Some superstar engineers can be hard to work with (I personally don't like to reward smart but condescending people at a cost of the entire team feeling miserable),"Verified User Current Employee W***** Product Manager - Apr 12, 2021",
5,All-around fantastic,"Lots of smart people. Good pay, good work-life balance. Having capable SREs that you work well with greatly reduces or eliminates SWE on-call.","Most people run into a compensation cliff at 4 years when your initial stock grant expires. Some orgs (Cloud, Android) have worse WLB.","Verified User Current Employee s***** Software Engineer III - Apr 12, 2021",
4,"Great work life balance, poor growth","Work life balance is great, if you set expectations upfront.","Little opportunities for growth at higher levels, very team and manager dependent.","Verified User Current Employee r*** Technical Solutions Consultant - Apr 12, 2021",
5,Great internal tools,"work life balance, good food and a good company culture overall","Slow promotions, depends on the team as well. High pressure","Verified User Current Employee C***** Software Engineer - Apr 12, 2021",
5,10 years in and exhausted,"Security, stability, money, food, not Facebook, can check out for years.","Career growth, leadership, laziness ingrained in the culture, judged by popularity and not by impact in","Verified User Current Employee b********* Produce Manager - Apr 12, 2021",
4,Pretty much what everyone says,Work Life Balance is unmatched. Pre-Covid perks were awesome. 👍,Political aspects because it's a huge company. Culture is essentially SJW rot.,"Verified User Current Employee W***** Senior Software Engineer - Apr 12, 2021",
4,Can be amazing in the right places,- Work/Life Balance- Amazing peers- Huge diversity of projects,- Slow career growth- Slow comp growth- Can be excruciatingly boring,"Verified User Current Employee z***** Software Engineer - Apr 11, 2021",
4,Great people,A lot of very smart people willing to helpStill feeling of work-life flexibility,"Cloud culture is different from what Google used to be. Promotions feel less based on work now but more on people pulling you up. Google used to be you can get promoted w/o manager's support. Now feeling is that you are fully dependent on senior ppl pulling you up, especially at higher levels.","Verified User Current Employee T******** Program Manager - Apr 11, 2021",
4,Good work life balance,- have a lot of freedom of managing my tasks- work life balance is great,- a little too many coasters and managers didn't do much about it.- promotion is slightly slower than expected.,"Verified User Current Employee n***** Software Engineer - Apr 11, 2021",
5,Great Benefits and WLB,Love my team and role. The in office perks are great.,Currently no negative things to say for my role at the moment.,"Verified User Current Employee J***** Recruiter - Apr 11, 2021",
5,"Great work life balance, not enough space to grow","Great perks, talented coworkers, good management, nice work life balance and good product","Lack of space to grow, severely over staffed. Ok for ppl in retirement mode but not for ppl looking for fast growing","Verified User Current Employee x***** Senior Software Engineer - Apr 11, 2021",
4,"Highest quality ICs, very weak leadership.",- Good pay- Good WLB- Talented eng/UX/PMs- Good perks and benefits,- Slow and opaque perf/promo process- Very weak L8+ leaderships in many BUs,"Verified User Current Employee U***** Product Manager - Apr 10, 2021",
5,Great wlb,"Benefits, culture are great. work life balance is great too","No particular cons, other than those typical of a larger company (like general impact of a single person is likely not as large as it might be elsewhere)","Verified User Current Employee f***** Software Engineer - Apr 10, 2021",
