Rating,Description,Pros,Cons,Author Info,Resignation Reason
4,Potential to become next google,Great mission and culture. Leading crypto economy regulations and mission focused.,Sometimes work life balance is bad due to non stop need to deliver new products and features.,"Verified User Current Employee  b********  Engineer - Mar 24, 2021  ",
5,Overall great,"High-growth, talented teams, a lot of interesting work. Pre IPO","Intense culture, work-life balance, politics for a small company ","Verified User Current Employee  b*****  Human Resources - Mar 23, 2021  ",
1,Disorganized and bad WLB,Coinbase is in a fairly interesting industry and has solid financials.,WLB is terrible. Enormous amounts of tech debt and a lot of internal political posturing to try to get ahead.,"Verified User Current Employee  H*****  Software Engineer - Mar 23, 2021  ",
4,Important things being done,Good things being done there and as with all companies some mistakes but mostly positiv,Politics can still get in the way sometimes definite feel of entitlement by some. Folks get paid very well and still complain.,"Verified User Current Employee  y********  Senior Investigator III - Mar 19, 2021  ",
5,Very Interesting Work,"Great people, interesting work, lots of challenges that push you to perform.","Lots of new people, culture evolving, work/life balance can be challenging at times.","Verified User Current Employee  Y*****  HR Analyst I - Mar 18, 2021  ",
5,Good experience so far,"Joined last year. It's fast paced, career growth and impact are more than I've seen anywhere else. Everyone is driven to make things work, and pretty low ego. Exciting to be at the epicentre of cryptocurrency, the mission to create an open financial system for the world is inspiring.","Not a coasting culture. More could be done to organize and mature internal processes as we scale, but appears that it is being addressed.","Verified User Current Employee  z*****  Engineer - Feb 27, 2021  ",
5,Huge growth,Company growing rapidly. Fast paced. Collaborative culture. Good management team.,"Ton of work, not enough resources. Not sure when we can work in person.","Verified User Current Employee  s*****  Product Manager - Feb 24, 2021  ",
4,ambivalent,"the people at coinbase are some of the smartest and coolest you'll ever meet. everyone is passionate about crypto and the mission. these are coworkers who you'll want to go out for drinks with (once covid is over).the problems coinbase is focused on solving continue to follow closely the cutting edge of blockchain. the work is extremely exciting, even when it's chaotic.","honestly, the exec team has really dropped the ball since the start of covid, in my opinion. there is way less transparency in top level decisions, and instead we get a company wide email every week titled top of mind containing career motivation platitudes and probably made up #inspirational anecdotes. ","Verified User Current Employee  k*****  Software Engineer - Feb 22, 2021  ",
5,Want to dedicate your career to crypto? Coinbase is the best school,"No need to have prior crypto knowledge or experience for many teams or roles. But if you are considering specializing in crypto or crypto-adjacent tech for your career, and especially if you are getting excited for the vast amount of crypto opportunities in the upcoming decades, Coinbase is the best place to learn, build, and grow. There are tremendous ways to keep up with the latest cutting edge crypto technologies, platforms, tools, and develop with/for them while working with truly talented engineers.","The company will continue to scale rapidly in the next few years. Fast growth brings its own challenges in processes, culture, and division of responsibilities across the company.","Verified User Current Employee  c*****  Engineer - Feb 20, 2021  ",
4,Great place to learn / tough work life balance,Awesome place to learn and grow- tons happening and fast growing,24/7 culture - can be hard to keep up at times,"Verified User Current Employee  i*****  Talent Acquisition - Feb 18, 2021  ",
2,Stressful,Exciting product and industry. Pretty cool to be part of something revolutionary.,It's really stressful. Things move fast here with limited resources. Tech could be better as well.,"Verified User Current Employee  p*******  Software Engineer - Feb 10, 2021  ",
3,"Learned a lot, but it was a very bumpy ride.",-Smart people with an interesting blend of finance and tech brains.-Exciting industry and great opportunity to be on the forefront of finance 2.0.-Fast paced environment with challenging work.,"-Lots of changes in leadership, seemed like a revolving door at times.  Politics at play.-Non professional CEO who's had internal missteps. -Environment can be a pressure cooker and at times brought out the worst in people.  ","Verified User Former Employee  x*****  Talent Acquisition - Feb 8, 2021  ",I couldn't sustain the intensity of the job beyond my time there and was disappointed on-going politics in leadership and middle management.
4,Come if you're interested in crypto,Get to learn a lot about what is happening in the crypto world,Closing in on IPO so fincancial upside is not as appealing anymore,"Verified User Current Employee  I*****  Software Engineer - Feb 7, 2021  ",
2,Potentially interesting work if you can get over working at Idiocracy,"Potentially interesting work in an ever growing, innovative space. However, it's utility is still up in the air.",There's lots of politics. Mostly an incompetent LT being run by yes-people. CEO is largely checked out except for firing people that don't agree with his politics but does seem more interested in talking on Clubhouse than trying to fix problems or listening to employees.,"Verified User Current Employee  y*********  Engineer - Feb 3, 2021  ",
